"77","SPB-18391","2018-07-30 21:27",1001,2,"2018-07-30 21:37",577,9,9,21,27,2018,7,30,0
"78","SPB-17069","2018-07-30 21:32",835,5,"2018-07-30 21:37",818,1,4,21,32,2018,7,30,0
"79","SPB-12154","2018-07-30 21:25",409,22,"2018-07-30 21:37",194,3,11,21,25,2018,7,30,0
"80","SPB-01750","2018-07-30 21:32",164,10,"2018-07-30 21:37",177,4,4,21,32,2018,7,30,0
"81","SPB-16772","2018-07-30 21:26",1205,2,"2018-07-30 21:37",1221,10,10,21,26,2018,7,30,0
"82","SPB-15130","2018-07-30 21:25",1127,8,"2018-07-30 21:37",739,3,11,21,25,2018,7,30,0
"83","SPB-10963","2018-07-30 21:28",364,8,"2018-07-30 21:37",346,9,8,21,28,2018,7,30,0
"84","SPB-15710","2018-07-30 21:25",1127,7,"2018-07-30 21:37",739,11,11,21,25,2018,7,30,0
"85","SPB-18504","2018-07-30 21:31",2252,17,"2018-07-30 21:37",2255,15,5,21,31,2018,7,30,0
"86","SPB-03042","2018-07-30 21:33",152,2,"2018-07-30 21:37",151,9,4,21,33,2018,7,30,0
"87","SPB-10626","2018-07-30 21:29",700,9,"2018-07-30 21:37",1119,3,8,21,29,2018,7,30,0
"88","SPB-03620","2018-07-30 21:28",1361,12,"2018-07-30 21:37",1361,12,8,21,28,2018,7,30,1
"89","SPB-10721","2018-07-30 21:26",2358,7,"2018-07-30 21:37",2244,15,10,21,26,2018,7,30,0
"90","SPB-16455","2018-07-30 21:27",130,4,"2018-07-30 21:37",115,15,9,21,27,2018,7,30,0
"91","SPB-07282","2018-07-30 21:30",2009,7,"2018-07-30 21:37",2059,7,7,21,30,2018,7,30,0
"92","SPB-17519","2018-07-30 21:28",1625,19,"2018-07-30 21:37",1653,3,8,21,28,2018,7,30,0
"93","SPB-18509","2018-07-30 21:25",1009,1,"2018-07-30 21:38",1010,19,12,21,25,2018,7,30,0
"94","SPB-05473","2018-07-30 21:35",1029,5,"2018-07-30 21:38",1028,2,2,21,35,2018,7,30,0
"95","SPB-14188","2018-07-30 21:27",1722,14,"2018-07-30 21:38",1717,2,10,21,27,2018,7,30,0
"96","SPB-12645","2018-07-30 21:29",272,16,"2018-07-30 21:38",227,9,8,21,29,2018,7,30,0
"97","SPB-16024","2018-07-30 21:31",2242,2,"2018-07-30 21:38",2244,12,6,21,31,2018,7,30,0
"98","SPB-13149","2018-07-30 21:31",134,6,"2018-07-30 21:38",125,13,6,21,31,2018,7,30,0
"99","SPB-15573","2018-07-30 21:31",1850,5,"2018-07-30 21:38",1963,8,6,21,31,2018,7,30,0
"100","SPB-14093","2018-07-30 21:33",346,1,"2018-07-30 21:38",378,2,5,21,33,2018,7,30,0
"101","SPB-05973","2018-07-30 21:31",1321,7,"2018-07-30 21:38",1354,10,7,21,31,2018,7,30,0
"102","SPB-07846","2018-07-30 21:34",3513,10,"2018-07-30 21:38",568,8,4,21,34,2018,7,30,0
"103","SPB-15531","2018-07-30 21:36",1224,9,"2018-07-30 21:38",1222,15,2,21,36,2018,7,30,0
"104","SPB-17457","2018-07-30 21:33",536,5,"2018-07-30 21:38",521,2,5,21,33,2018,7,30,0
"105","SPB-14319","2018-07-30 21:34",356,1,"2018-07-30 21:38",358,6,3,21,34,2018,7,30,0
"106","SPB-18127","2018-07-30 21:26",706,5,"2018-07-30 21:38",708,4,11,21,26,2018,7,30,0
"107","SPB-17713","2018-07-30 21:27",1122,10,"2018-07-30 21:38",1135,10,11,21,27,2018,7,30,0
"108","SPB-18279","2018-07-30 21:34",1021,10,"2018-07-30 21:39",1042,2,4,21,34,2018,7,30,0
"109","SPB-10253","2018-07-30 21:29",646,7,"2018-07-30 21:39",602,7,9,21,29,2018,7,30,0
"110","SPB-09214","2018-07-30 21:33",2050,9,"2018-07-30 21:39",2013,3,5,21,33,2018,7,30,0
"111","SPB-11957","2018-07-30 21:31",450,9,"2018-07-30 21:39",301,7,7,21,31,2018,7,30,0
"112","SPB-06057","2018-07-30 21:32",716,6,"2018-07-30 21:39",722,6,7,21,32,2018,7,30,0
"113","SPB-15999","2018-07-30 21:31",1327,1,"2018-07-30 21:39",1328,10,7,21,31,2018,7,30,0
"114","SPB-13022","2018-07-30 21:32",1327,4,"2018-07-30 21:39",1328,7,6,21,32,2018,7,30,0
"115","SPB-15459","2018-07-30 21:27",2007,14,"2018-07-30 21:39",257,1,11,21,27,2018,7,30,0
"116","SPB-16895","2018-07-30 21:30",2176,14,"2018-07-30 21:39",1911,7,8,21,30,2018,7,30,0
"117","SPB-05356","2018-07-30 21:34",386,2,"2018-07-30 21:39",341,2,5,21,34,2018,7,30,0
"118","SPB-14054","2018-07-30 21:31",2176,15,"2018-07-30 21:39",1911,9,7,21,31,2018,7,30,0
"119","SPB-04819","2018-07-30 21:33",2252,13,"2018-07-30 21:39",2255,1,6,21,33,2018,7,30,0
"120","SPB-18019","2018-07-30 21:34",1850,1,"2018-07-30 21:39",1841,4,5,21,34,2018,7,30,0
"121","SPB-09900","2018-07-30 21:30",1214,4,"2018-07-30 21:39",1253,5,9,21,30,2018,7,30,0
"122","SPB-16866","2018-07-30 21:31",1354,1,"2018-07-30 21:39",637,6,8,21,31,2018,7,30,0
"123","SPB-10220","2018-07-30 21:31",358,6,"2018-07-30 21:40",334,4,8,21,31,2018,7,30,0
"124","SPB-15330","2018-07-30 21:32",224,8,"2018-07-30 21:40",222,7,6,21,32,2018,7,30,0
"125","SPB-15077","2018-07-30 21:31",1850,7,"2018-07-30 21:40",1841,9,8,21,31,2018,7,30,0
"126","SPB-12337","2018-07-30 21:32",113,16,"2018-07-30 21:40",104,1,7,21,32,2018,7,30,0
"127","SPB-02418","2018-07-30 21:36",2129,2,"2018-07-30 21:40",2159,1,3,21,36,2018,7,30,0
"128","SPB-17757","2018-07-30 21:33",916,1,"2018-07-30 21:40",930,7,6,21,33,2018,7,30,0
"129","SPB-07348","2018-07-30 21:32",234,2,"2018-07-30 21:40",256,1,7,21,32,2018,7,30,0
"130","SPB-07790","2018-07-30 21:30",1682,1,"2018-07-30 21:40",1653,2,10,21,30,2018,7,30,0
"131","SPB-09797","2018-07-30 21:38",312,6,"2018-07-30 21:40",311,34,2,21,38,2018,7,30,0
"132","SPB-08376","2018-07-30 21:28",731,9,"2018-07-30 21:40",719,5,11,21,28,2018,7,30,0
"133","SPB-08460","2018-07-30 21:36",542,4,"2018-07-30 21:41",551,4,4,21,36,2018,7,30,0
"134","SPB-08466","2018-07-30 21:34",1668,9,"2018-07-30 21:41",1623,3,6,21,34,2018,7,30,0
"135","SPB-16850","2018-07-30 21:27",2385,7,"2018-07-30 21:41",2231,14,13,21,27,2018,7,30,0
"136","SPB-08505","2018-07-30 21:36",519,14,"2018-07-30 21:41",568,10,4,21,36,2018,7,30,0
"137","SPB-06791","2018-07-30 21:32",279,15,"2018-07-30 21:41",257,6,8,21,32,2018,7,30,0
"138","SPB-15337","2018-07-30 21:30",1611,3,"2018-07-30 21:41",1668,1,10,21,30,2018,7,30,0
"139","SPB-15659","2018-07-30 21:26",2103,1,"2018-07-30 21:41",2102,17,14,21,26,2018,7,30,0
"140","SPB-09299","2018-07-30 21:28",390,1,"2018-07-30 21:41",347,7,12,21,28,2018,7,30,0
"141","SPB-16758","2018-07-30 21:32",1931,5,"2018-07-30 21:41",1964,1,8,21,32,2018,7,30,0
"142","SPB-14360","2018-07-30 21:34",1673,9,"2018-07-30 21:41",1636,9,6,21,34,2018,7,30,0
"143","SPB-12483","2018-07-30 21:36",623,1,"2018-07-30 21:41",622,9,4,21,36,2018,7,30,0
"144","SPB-17475","2018-07-30 21:35",1410,6,"2018-07-30 21:41",1414,10,6,21,35,2018,7,30,0
"145","SPB-07599","2018-07-30 21:25",590,1,"2018-07-30 21:41",549,4,15,21,25,2018,7,30,0
"146","SPB-16706","2018-07-30 21:37",2259,9,"2018-07-30 21:41",2262,6,3,21,37,2018,7,30,0
"147","SPB-17812","2018-07-30 21:35",233,9,"2018-07-30 21:41",230,9,6,21,35,2018,7,30,0
"148","SPB-18488","2018-07-30 21:29",511,1,"2018-07-30 21:41",507,1,11,21,29,2018,7,30,0
"149","SPB-18183","2018-07-30 21:30",2103,4,"2018-07-30 21:41",2102,1,11,21,30,2018,7,30,0
"150","SPB-05773","2018-07-30 21:32",1931,4,"2018-07-30 21:41",1964,3,8,21,32,2018,7,30,0
"151","SPB-04900","2018-07-30 21:34",516,5,"2018-07-30 21:41",516,4,6,21,34,2018,7,30,1
"152","SPB-13927","2018-07-30 21:33",913,10,"2018-07-30 21:42",926,3,8,21,33,2018,7,30,0
"153","SPB-11817","2018-07-30 21:27",217,1,"2018-07-30 21:42",201,1,13,21,27,2018,7,30,0
"154","SPB-15194","2018-07-30 21:26",813,1,"2018-07-30 21:42",829,20,15,21,26,2018,7,30,0
"155","SPB-17467","2018-07-30 21:34",725,9,"2018-07-30 21:42",736,2,7,21,34,2018,7,30,0
"156","SPB-15479","2018-07-30 21:35",358,13,"2018-07-30 21:42",344,8,6,21,35,2018,7,30,0
"157","SPB-17841","2018-07-30 21:26",386,1,"2018-07-30 21:42",1361,1,15,21,26,2018,7,30,0
"158","SPB-13440","2018-07-30 21:32",3516,4,"2018-07-30 21:42",3516,3,9,21,32,2018,7,30,1
"159","SPB-10158","2018-07-30 21:38",625,3,"2018-07-30 21:42",617,2,3,21,38,2018,7,30,0
"160","SPB-17489","2018-07-30 21:33",177,1,"2018-07-30 21:42",419,16,8,21,33,2018,7,30,0
"161","SPB-09910","2018-07-30 21:30",1616,10,"2018-07-30 21:42",1636,5,12,21,30,2018,7,30,0
"162","SPB-06718","2018-07-30 21:32",320,3,"2018-07-30 21:42",334,8,9,21,32,2018,7,30,0
"163","SPB-04646","2018-07-30 21:32",320,14,"2018-07-30 21:42",334,9,9,21,32,2018,7,30,0
"164","SPB-13084","2018-07-30 21:33",2222,8,"2018-07-30 21:42",2265,6,8,21,33,2018,7,30,0
"165","SPB-15834","2018-07-30 21:36",1318,9,"2018-07-30 21:42",1339,5,6,21,36,2018,7,30,0
